Supplementary table 2.1: Associations between BMI germline PGS and TCGA UCEC tumour gene expression,,,,,
Gene,Beta,Standard error,Z-score,P-value,False discovery rate
DUSP9,0.0046,0.0557,0.0829,9.34E-01,0.9956
RASGEF1A,-0.0051,0.0616,-0.0829,9.34E-01,0.9956
PROS1,-0.0043,0.0516,-0.0828,9.34E-01,0.9956
DCX,-0.005,0.06,-0.0827,9.34E-01,0.9956
C12orf11,-0.0036,0.0436,-0.0826,9.34E-01,0.9956
COL25A1,0.005,0.0607,0.0824,9.34E-01,0.9956
RPS15AP10,0.0052,0.0629,0.0824,9.34E-01,0.9956
MMP14,0.0041,0.0503,0.0824,9.34E-01,0.9956
PHYH,0.0044,0.054,0.0823,9.34E-01,0.9956
XCR1,0.0048,0.0578,0.0821,9.35E-01,0.9956
MAGEB2,0.0038,0.0468,0.0821,9.35E-01,0.9956
LYRM5,-0.004,0.049,-0.0819,9.35E-01,0.9956
SET,-0.0035,0.0423,-0.0818,9.35E-01,0.9956
KIAA1826,-0.0041,0.0501,-0.0818,9.35E-01,0.9956
KIAA0146,-0.0038,0.0461,-0.0818,9.35E-01,0.9956
RPUSD3,0.0041,0.05,0.0816,9.35E-01,0.9956
C6orf58,0.0047,0.0571,0.0815,9.35E-01,0.9956
ABCC4,-0.0044,0.0539,-0.0815,9.35E-01,0.9956
HNRNPUL2,0.0035,0.0428,0.0815,9.35E-01,0.9956
BRCA1,0.0039,0.0478,0.0814,9.35E-01,0.9956
CACNB2,0.0047,0.0582,0.0813,9.35E-01,0.9956
COL4A6,-0.0047,0.0574,-0.0813,9.35E-01,0.9956
ECD,0.0036,0.0445,0.0812,9.35E-01,0.9956
NKD1,0.0052,0.0642,0.0812,9.35E-01,0.9956
EHBP1L1,-0.0042,0.0512,-0.0812,9.35E-01,0.9956
CYP2F1,-0.0052,0.0639,-0.0812,9.35E-01,0.9956
BMX,-0.0049,0.0599,-0.0812,9.35E-01,0.9956
MAN2A2,-0.0038,0.0463,-0.0811,9.35E-01,0.9956
SFTA2,-0.0054,0.0662,-0.0811,9.35E-01,0.9956
CXorf41,0.0048,0.0591,0.081,9.35E-01,0.9956
TIGD4,-0.004,0.049,-0.081,9.35E-01,0.9956
PI16,0.0049,0.06,0.0809,9.36E-01,0.9956
CDKL2,-0.0045,0.0559,-0.0808,9.36E-01,0.9956
SCML4,0.005,0.0618,0.0808,9.36E-01,0.9956
SP3,-0.0034,0.0419,-0.0808,9.36E-01,0.9956
HAS3,-0.0048,0.059,-0.0808,9.36E-01,0.9956
PLEKHJ1,-0.0039,0.0489,-0.0807,9.36E-01,0.9956
C3orf55,-0.0047,0.0583,-0.0807,9.36E-01,0.9956
MMAA,0.0037,0.0466,0.0805,9.36E-01,0.9956
COL7A1,0.0046,0.0571,0.0805,9.36E-01,0.9956
LOC100272216,0.0055,0.0688,0.0805,9.36E-01,0.9956
HLTF,0.0036,0.0442,0.0804,9.36E-01,0.9956
LYPD5,0.0049,0.0616,0.0804,9.36E-01,0.9956
KLHL12,-0.0036,0.0452,-0.0802,9.36E-01,0.9956
ACADSB,0.004,0.0493,0.0802,9.36E-01,0.9956
POU3F2,-0.0042,0.0529,-0.0802,9.36E-01,0.9956
CCND3,-0.0042,0.0522,-0.0802,9.36E-01,0.9956
IGSF3,-0.0039,0.0489,-0.0801,9.36E-01,0.9956
RBM17,-0.0033,0.0413,-0.0801,9.36E-01,0.9956
CLEC18A,-0.005,0.0629,-0.0801,9.36E-01,0.9956
CLDN5,0.0048,0.0601,0.0799,9.36E-01,0.9956
FAM160B1,0.0038,0.0477,0.0798,9.36E-01,0.9956
WDR91,0.0043,0.0543,0.0798,9.36E-01,0.9956
TPP2,0.0032,0.0402,0.0796,9.37E-01,0.9956
CHST12,-0.0045,0.057,-0.0796,9.37E-01,0.9956
C21orf70,0.0041,0.0515,0.0794,9.37E-01,0.9956
ITM2B,0.0039,0.049,0.0793,9.37E-01,0.9956
C18orf25,-0.0033,0.0416,-0.0793,9.37E-01,0.9956
HDDC3,0.0039,0.0498,0.0793,9.37E-01,0.9956
TEKT4,-0.0054,0.0683,-0.0792,9.37E-01,0.9956
RPF1,0.0031,0.0394,0.0791,9.37E-01,0.9956
RGAG4,0.0041,0.0517,0.0791,9.37E-01,0.9956
EPHX4,0.0045,0.0574,0.079,9.37E-01,0.9956
SLC32A1,-0.0045,0.0564,-0.0789,9.37E-01,0.9956
LYPLA2P1,-0.0056,0.0711,-0.0788,9.37E-01,0.9956
CLIC3,-0.0052,0.066,-0.0787,9.37E-01,0.9956
KCNK15,0.0053,0.067,0.0787,9.37E-01,0.9956
C4orf12,0.0041,0.052,0.0786,9.37E-01,0.9956
ZNF208,0.0045,0.0573,0.0785,9.37E-01,0.9956
TFB2M,0.0034,0.0438,0.0784,9.38E-01,0.9956
GGN,-0.0049,0.063,-0.0783,9.38E-01,0.9956
TTC21B,-0.0034,0.0433,-0.0783,9.38E-01,0.9956
MED25,-0.004,0.0517,-0.0783,9.38E-01,0.9956
LOC282997,0.0046,0.0583,0.0782,9.38E-01,0.9956
LOC90784,0.0039,0.0503,0.078,9.38E-01,0.9956
SNTN,-0.0049,0.063,-0.0778,9.38E-01,0.9956
MMP24,0.0043,0.0555,0.0778,9.38E-01,0.9956
GLT25D2,-0.0047,0.0604,-0.0777,9.38E-01,0.9956
MAP7D3,0.004,0.0509,0.0777,9.38E-01,0.9956
ZDHHC11,-0.005,0.0646,-0.0777,9.38E-01,0.9956
CXCL9,-0.0048,0.0613,-0.0776,9.38E-01,0.9956
SPANXA2,0.0031,0.04,0.0775,9.38E-01,0.9956
ZFP82,-0.0042,0.054,-0.0775,9.38E-01,0.9956
ABHD13,0.0031,0.0403,0.0774,9.38E-01,0.9956
MRC2,-0.0044,0.0569,-0.0774,9.38E-01,0.9956
C1orf94,0.0038,0.0485,0.0774,9.38E-01,0.9956
NME1-NME2,-0.0048,0.0627,-0.0774,9.38E-01,0.9956
NPAS4,-0.0047,0.0607,-0.0773,9.38E-01,0.9956
GPRC5A,-0.0048,0.0628,-0.0772,9.39E-01,0.9956
NDUFA4,0.0034,0.0439,0.0771,9.39E-01,0.9956
FBXO11,0.003,0.0388,0.077,9.39E-01,0.9956
FAM21C,0.0034,0.0442,0.0769,9.39E-01,0.9956
OCIAD1,-0.0032,0.0413,-0.0769,9.39E-01,0.9956
DCAF11,-0.0035,0.0451,-0.0768,9.39E-01,0.9956
SNRK,0.0033,0.0433,0.0768,9.39E-01,0.9956
SIP1,-0.0032,0.0419,-0.0768,9.39E-01,0.9956
STAB2,0.0052,0.0672,0.0768,9.39E-01,0.9956
SKAP1,-0.0048,0.0622,-0.0767,9.39E-01,0.9956
INHBA,-0.0049,0.0639,-0.0767,9.39E-01,0.9956
LASS4,0.0048,0.062,0.0767,9.39E-01,0.9956
C7orf44,0.0032,0.0413,0.0767,9.39E-01,0.9956
KRT19,0.0047,0.0614,0.0766,9.39E-01,0.9956
C1orf128,0.0034,0.0444,0.0765,9.39E-01,0.9956
PDE8B,-0.0044,0.0571,-0.0764,9.39E-01,0.9956
C9orf30,-0.0034,0.0443,-0.0764,9.39E-01,0.9956
UBE2D4,-0.0036,0.0474,-0.0764,9.39E-01,0.9956
WDR63,0.0046,0.0605,0.0764,9.39E-01,0.9956
RNF160,0.0034,0.0441,0.0764,9.39E-01,0.9956
C6orf118,0.0049,0.064,0.0763,9.39E-01,0.9956
NUDT10,-0.0043,0.0564,-0.0763,9.39E-01,0.9956
SCUBE1,-0.0049,0.0641,-0.0762,9.39E-01,0.9956
RHOXF2B,0.0044,0.0582,0.0762,9.39E-01,0.9956
SPRY3,0.0041,0.0544,0.0762,9.39E-01,0.9956
DNAJC14,0.0029,0.0378,0.076,9.39E-01,0.9956
MAFF,0.004,0.0528,0.076,9.39E-01,0.9956
ZNF560,0.0041,0.0539,0.076,9.39E-01,0.9956
RAD51C,-0.0032,0.0426,-0.0759,9.40E-01,0.9956
TYW1B,-0.0046,0.0601,-0.0759,9.40E-01,0.9956
LCN10,-0.0043,0.057,-0.0758,9.40E-01,0.9956
FAT3,-0.0043,0.0565,-0.0758,9.40E-01,0.9956
LOC151174,0.0043,0.0574,0.0756,9.40E-01,0.9956
TMEM54,-0.0048,0.0633,-0.0756,9.40E-01,0.9956
MYBL2,0.0043,0.057,0.0755,9.40E-01,0.9956
SPRY2,0.0043,0.0572,0.0755,9.40E-01,0.9956
PLA2G7,-0.0045,0.0593,-0.0754,9.40E-01,0.9956
RUSC2,-0.0038,0.0506,-0.0754,9.40E-01,0.9956
ARSK,0.0034,0.0447,0.0754,9.40E-01,0.9956
PTPDC1,-0.0034,0.0451,-0.0754,9.40E-01,0.9956
PAPPA,-0.0047,0.0627,-0.0753,9.40E-01,0.9957
HSH2D,-0.0045,0.0597,-0.0751,9.40E-01,0.9957
FLJ43663,-0.0044,0.0588,-0.0751,9.40E-01,0.9957
IHH,-0.0048,0.0647,-0.0749,9.40E-01,0.9957
PLG,-0.0049,0.066,-0.0748,9.40E-01,0.9957
GAGE4,0.0038,0.0504,0.0748,9.40E-01,0.9957
MYO18B,-0.0046,0.0609,-0.0747,9.40E-01,0.9957
Mar-11,0.0035,0.0465,0.0747,9.40E-01,0.9957
AASDH,0.0031,0.0416,0.0747,9.41E-01,0.9957
TUBG2,-0.0045,0.0601,-0.0746,9.41E-01,0.9957
TLE4,0.0039,0.0528,0.0745,9.41E-01,0.9958
PBRM1,-0.0032,0.0427,-0.0744,9.41E-01,0.9958
RPL10,0.004,0.0533,0.0742,9.41E-01,0.9958
ZFAND3,0.0031,0.0416,0.0742,9.41E-01,0.9958
FOXO3,-0.0037,0.05,-0.0741,9.41E-01,0.9958
SH3BGR,0.0044,0.06,0.0741,9.41E-01,0.9958
FAM189A2,-0.0046,0.0627,-0.0741,9.41E-01,0.9958
CD226,0.0043,0.0577,0.0739,9.41E-01,0.9958
SLC20A2,-0.004,0.054,-0.0738,9.41E-01,0.9958
TRIM7,-0.0046,0.0622,-0.0737,9.41E-01,0.9958
FBLN2,0.0044,0.0592,0.0736,9.41E-01,0.9958
AKR1C2,0.0048,0.0649,0.0735,9.41E-01,0.9958
KIAA1524,0.0034,0.0456,0.0735,9.41E-01,0.9958
DCAF5,0.0029,0.0398,0.0735,9.41E-01,0.9958
ZNF326,0.0029,0.0391,0.0735,9.41E-01,0.9958
LOC151162,0.0038,0.0523,0.0735,9.41E-01,0.9958
HSD17B13,0.0044,0.0599,0.0733,9.42E-01,0.9958
CLEC18B,0.0049,0.0673,0.0733,9.42E-01,0.9958
INS-IGF2,-0.0046,0.0623,-0.0732,9.42E-01,0.9958
FXYD5,-0.0045,0.0612,-0.0732,9.42E-01,0.9958
RYBP,0.003,0.0412,0.073,9.42E-01,0.9959
LASP1,0.0035,0.0486,0.0729,9.42E-01,0.9959
CXorf59,0.0046,0.0635,0.0728,9.42E-01,0.9959
TPM4,-0.0033,0.0454,-0.0727,9.42E-01,0.9959
FNDC5,0.0043,0.0598,0.0725,9.42E-01,0.9959
CMC1,0.0032,0.0446,0.0724,9.42E-01,0.9959
HIST1H2AM,-0.0047,0.0645,-0.0723,9.42E-01,0.9959
BCAP29,0.0032,0.044,0.0723,9.42E-01,0.9959
SGPL1,-0.0035,0.0479,-0.0722,9.43E-01,0.9959
CSMD3,-0.0044,0.061,-0.0722,9.43E-01,0.9959
VEPH1,-0.0039,0.0546,-0.0718,9.43E-01,0.9959
TNFAIP6,0.0043,0.0595,0.0718,9.43E-01,0.9959
LRFN5,0.0042,0.059,0.0717,9.43E-01,0.9959
SLC26A3,-0.0043,0.0599,-0.0717,9.43E-01,0.9959
FAM178B,-0.0046,0.0645,-0.0717,9.43E-01,0.9959
EDNRA,-0.0039,0.0547,-0.0716,9.43E-01,0.9959
COPS6,-0.0035,0.0492,-0.0716,9.43E-01,0.9959
LOC121838,-0.0044,0.062,-0.0715,9.43E-01,0.9959
TREH,0.0047,0.0658,0.0715,9.43E-01,0.9959
CCK,-0.0039,0.0543,-0.0715,9.43E-01,0.9959
HORMAD1,0.0041,0.058,0.0714,9.43E-01,0.9959
LOC728554,0.0046,0.0647,0.0714,9.43E-01,0.9959
SKA2,0.0033,0.0468,0.0713,9.43E-01,0.9959
TMEM151A,-0.0042,0.0592,-0.0712,9.43E-01,0.9959
GNL3,-0.0032,0.0443,-0.0712,9.43E-01,0.9959
FKTN,0.0031,0.0433,0.0711,9.43E-01,0.9959
GLOD5,-0.0043,0.0603,-0.0711,9.43E-01,0.9959
ANKRD54,0.0038,0.0534,0.0708,9.44E-01,0.9959
SPHK1,-0.0041,0.0579,-0.0708,9.44E-01,0.9959
ADH1C,0.0047,0.0661,0.0708,9.44E-01,0.9959
AGBL3,-0.0042,0.0601,-0.0707,9.44E-01,0.9959
APITD1,0.0032,0.0455,0.0706,9.44E-01,0.9959
REG4,-0.0042,0.06,-0.0706,9.44E-01,0.9959
ZCCHC8,0.0032,0.0453,0.0706,9.44E-01,0.9959
PON2,0.0034,0.0485,0.0705,9.44E-01,0.9959
CYP4Z2P,-0.0044,0.0621,-0.0705,9.44E-01,0.9959
EMP2,-0.0043,0.0611,-0.0705,9.44E-01,0.9959
GTF2A2,-0.0032,0.0451,-0.0703,9.44E-01,0.9959
CNST,0.0032,0.0459,0.0703,9.44E-01,0.9959
MORN3,-0.0043,0.0617,-0.0701,9.44E-01,0.996
LGALS8,0.0035,0.0497,0.07,9.44E-01,0.996
LOC401387,0.0045,0.064,0.0699,9.44E-01,0.996
GAGE12D,0.0037,0.0529,0.0696,9.45E-01,0.996
TNFRSF13B,-0.0044,0.0632,-0.0694,9.45E-01,0.996
KIAA0494,-0.003,0.0427,-0.0694,9.45E-01,0.996
EXOG,-0.0032,0.0455,-0.0693,9.45E-01,0.996
TBC1D17,-0.0037,0.0537,-0.0693,9.45E-01,0.996
NUBP2,-0.0034,0.0487,-0.0691,9.45E-01,0.996
QRFP,0.004,0.0585,0.069,9.45E-01,0.996
UXS1,0.003,0.044,0.069,9.45E-01,0.996
TRIM15,-0.0045,0.0653,-0.0688,9.45E-01,0.996
PTPRB,-0.0037,0.0537,-0.0688,9.45E-01,0.996
FASLG,-0.0042,0.0605,-0.0688,9.45E-01,0.996
C17orf64,-0.004,0.0584,-0.0687,9.45E-01,0.996
SLC35E1,-0.0032,0.0462,-0.0686,9.45E-01,0.996
RENBP,0.0041,0.0591,0.0686,9.45E-01,0.996
HCG11,0.0034,0.0493,0.0685,9.45E-01,0.996
BSDC1,0.0028,0.0405,0.0682,9.46E-01,0.996
PTPN12,-0.0029,0.0424,-0.0681,9.46E-01,0.996
SDR9C7,-0.0038,0.056,-0.068,9.46E-01,0.996
STX6,0.0032,0.0467,0.0679,9.46E-01,0.996
FAM123A,-0.0031,0.0464,-0.0679,9.46E-01,0.996
LOC284009,-0.0044,0.0646,-0.0679,9.46E-01,0.996
C3orf36,-0.0045,0.0666,-0.0678,9.46E-01,0.996
C12orf35,0.0035,0.0516,0.0677,9.46E-01,0.996
MIB1,0.0028,0.0416,0.0677,9.46E-01,0.996
RWDD1,0.003,0.0444,0.0676,9.46E-01,0.996
FKBP7,-0.0033,0.0484,-0.0675,9.46E-01,0.996
TAPBPL,0.004,0.0593,0.0673,9.46E-01,0.996
ARRDC5,0.0044,0.0652,0.067,9.47E-01,0.996
TRMT6,-0.0027,0.0406,-0.0669,9.47E-01,0.996
ITPR3,0.0037,0.0549,0.0669,9.47E-01,0.996
SH3BP4,0.0037,0.0546,0.0669,9.47E-01,0.996
DAPK3,0.0033,0.0496,0.0668,9.47E-01,0.996
LRRN4,-0.0041,0.0619,-0.0668,9.47E-01,0.996
LRRC50,0.0042,0.0629,0.0667,9.47E-01,0.996
WBSCR28,-0.0042,0.0627,-0.0667,9.47E-01,0.996
ZNF420,-0.0029,0.0428,-0.0667,9.47E-01,0.996
CHEK1,-0.0034,0.0508,-0.0667,9.47E-01,0.996
CXorf22,-0.0042,0.0624,-0.0667,9.47E-01,0.996
DDX26B,-0.0035,0.0529,-0.0666,9.47E-01,0.996
UTP15,0.0029,0.0434,0.0665,9.47E-01,0.996
LOC389705,-0.0036,0.0535,-0.0664,9.47E-01,0.996
NUP133,0.0029,0.0433,0.0663,9.47E-01,0.996
PGR,-0.0039,0.0595,-0.0663,9.47E-01,0.996
NOC2L,-0.0032,0.0487,-0.0662,9.47E-01,0.996
ZNF302,0.0031,0.0463,0.0662,9.47E-01,0.996
Sep-14,0.0043,0.0646,0.0661,9.47E-01,0.996
PTPRN,0.0044,0.0667,0.0661,9.47E-01,0.996
CCDC19,-0.0041,0.0617,-0.0658,9.48E-01,0.996
MAPKBP1,-0.0032,0.0492,-0.0658,9.48E-01,0.996
FBLIM1,-0.0036,0.0543,-0.0658,9.48E-01,0.996
TRIM9,-0.0036,0.0553,-0.0658,9.48E-01,0.996
DARS,-0.0029,0.0444,-0.0657,9.48E-01,0.996
MMP13,0.004,0.0609,0.0657,9.48E-01,0.996
TXN2,0.003,0.0455,0.0657,9.48E-01,0.996
MAPRE3,-0.0041,0.0619,-0.0655,9.48E-01,0.996
C4orf31,-0.004,0.061,-0.0655,9.48E-01,0.996
TMEM106B,0.0028,0.0428,0.0654,9.48E-01,0.996
ZNF71,-0.0032,0.0495,-0.0654,9.48E-01,0.996
PCDH7,0.0038,0.058,0.0652,9.48E-01,0.996
TMEM62,-0.0035,0.0533,-0.065,9.48E-01,0.996
SLC14A2,-0.004,0.0626,-0.0646,9.49E-01,0.996
IGFBP6,-0.004,0.0617,-0.0644,9.49E-01,0.996
MYO3A,0.0034,0.053,0.0643,9.49E-01,0.996
ZNF268,-0.0029,0.0447,-0.0643,9.49E-01,0.996
SEZ6L2,-0.0041,0.0635,-0.0642,9.49E-01,0.996
SH3BP1,0.0036,0.0568,0.0641,9.49E-01,0.996
AHRR,-0.0039,0.0612,-0.0641,9.49E-01,0.996
SERPINB4,-0.0041,0.064,-0.0641,9.49E-01,0.996
ARL17B,0.0044,0.0694,0.064,9.49E-01,0.996
ZCCHC24,0.0034,0.053,0.0639,9.49E-01,0.996
LOC442308,0.0041,0.0649,0.0638,9.49E-01,0.996
HRSP12,0.0033,0.0519,0.0638,9.49E-01,0.996
TTC3,-0.0027,0.043,-0.0637,9.49E-01,0.996
HDGFRP3,-0.0034,0.0541,-0.0636,9.49E-01,0.996
HFM1,-0.0034,0.0539,-0.0636,9.49E-01,0.996
TNKS,0.0031,0.0494,0.0636,9.49E-01,0.996
CETN2,0.0032,0.0508,0.0635,9.49E-01,0.996
CRHR2,0.0034,0.0539,0.0633,9.50E-01,0.996
ANKRD1,-0.004,0.0627,-0.0633,9.50E-01,0.996
SAMD12,-0.0032,0.0501,-0.0633,9.50E-01,0.996
FMR1,0.0027,0.0423,0.0633,9.50E-01,0.996
CDC14C,-0.0041,0.0653,-0.0633,9.50E-01,0.996
FAM3B,-0.0041,0.0645,-0.0631,9.50E-01,0.996
CDK17,0.0027,0.0426,0.0631,9.50E-01,0.996
TAB3,0.0026,0.0411,0.063,9.50E-01,0.996
OLA1,-0.003,0.0471,-0.0628,9.50E-01,0.996
GATAD2A,0.0029,0.0456,0.0628,9.50E-01,0.996
GREM2,0.0038,0.0613,0.0627,9.50E-01,0.996
MRPL54,-0.0032,0.0514,-0.0626,9.50E-01,0.996
GNAS,0.0034,0.0542,0.0626,9.50E-01,0.996
CREBL2,-0.0027,0.0429,-0.0625,9.50E-01,0.996
WDR4,0.0034,0.0543,0.0624,9.50E-01,0.996
MTMR8,0.004,0.0647,0.0623,9.50E-01,0.996
LOC401397,0.0032,0.0509,0.0623,9.50E-01,0.996
DCAF17,0.0026,0.0417,0.0623,9.50E-01,0.996
S1PR3,0.0035,0.0556,0.0623,9.50E-01,0.996
PRSS21,-0.0039,0.0635,-0.0621,9.50E-01,0.996
MANSC1,-0.0033,0.0532,-0.0621,9.51E-01,0.996
LOC152024,-0.0034,0.0545,-0.0621,9.51E-01,0.996
NRTN,0.0043,0.0696,0.0621,9.51E-01,0.996
HIST1H2BK,0.0036,0.0577,0.062,9.51E-01,0.996
TFPI,-0.0037,0.0601,-0.0619,9.51E-01,0.996
C1orf216,-0.003,0.0481,-0.0618,9.51E-01,0.996
RNASE3,0.0038,0.0616,0.0618,9.51E-01,0.996
FBLL1,-0.0041,0.0672,-0.0617,9.51E-01,0.996
AGRP,-0.0037,0.0604,-0.0617,9.51E-01,0.996
NFATC2IP,-0.0027,0.0444,-0.0617,9.51E-01,0.996
KRT6C,0.0044,0.071,0.0616,9.51E-01,0.996
DNAJC11,-0.0027,0.0438,-0.0616,9.51E-01,0.996
SLC25A35,-0.004,0.0652,-0.0616,9.51E-01,0.996
NDUFAF1,0.0027,0.044,0.0615,9.51E-01,0.996
C7orf64,-0.0026,0.0424,-0.0615,9.51E-01,0.996
C19orf55,0.0033,0.0532,0.0615,9.51E-01,0.996
TSLP,0.0034,0.0556,0.0615,9.51E-01,0.996
MFSD4,0.0038,0.0625,0.0615,9.51E-01,0.996
KIAA1751,-0.0041,0.0665,-0.0614,9.51E-01,0.996
SMARCA1,-0.0029,0.0475,-0.0614,9.51E-01,0.996
EEF1A1P9,0.0036,0.0592,0.0614,9.51E-01,0.996
PGLYRP3,-0.0036,0.059,-0.0613,9.51E-01,0.996
SNORA39,0.0032,0.0515,0.0613,9.51E-01,0.996
PLOD2,0.0034,0.0553,0.0612,9.51E-01,0.996
ZNF500,0.0025,0.0414,0.0612,9.51E-01,0.996
YIPF3,-0.0028,0.0454,-0.0611,9.51E-01,0.996
HNRPDL,-0.0024,0.0398,-0.0611,9.51E-01,0.996
TFPI2,-0.0038,0.0624,-0.0611,9.51E-01,0.996
USP20,-0.0028,0.0459,-0.061,9.51E-01,0.996
HTR2C,0.0031,0.0515,0.0609,9.51E-01,0.996
LOC387646,0.0033,0.0543,0.0609,9.52E-01,0.996
LOC100134868,0.0045,0.0739,0.0609,9.52E-01,0.996
SLC5A8,0.0034,0.0564,0.0608,9.52E-01,0.996
PPAPDC1B,-0.0031,0.0517,-0.0607,9.52E-01,0.996
F2RL1,0.0031,0.0515,0.0604,9.52E-01,0.996
SLC38A9,0.0027,0.0443,0.0604,9.52E-01,0.996
SNORA81,0.004,0.067,0.0603,9.52E-01,0.996
FGF18,-0.0037,0.0613,-0.0603,9.52E-01,0.996
HOXD10,-0.0033,0.0556,-0.0603,9.52E-01,0.996
HPS3,0.003,0.0501,0.0602,9.52E-01,0.996
CSNK2A1,-0.0026,0.0427,-0.0602,9.52E-01,0.996
RABGGTB,0.0026,0.043,0.0602,9.52E-01,0.996
LOC100240726,0.0029,0.0478,0.0601,9.52E-01,0.996
FAM131C,-0.0037,0.0609,-0.0601,9.52E-01,0.996
BTBD16,-0.0039,0.0643,-0.06,9.52E-01,0.996
PLP2,-0.0033,0.0546,-0.0599,9.52E-01,0.996
FSCN1,-0.0035,0.0587,-0.0599,9.52E-01,0.996
LRIG2,-0.0029,0.0477,-0.0599,9.52E-01,0.996
ILKAP,-0.0028,0.0475,-0.0599,9.52E-01,0.996
MAT1A,0.0037,0.0617,0.0598,9.52E-01,0.996
ZNF438,0.0028,0.0466,0.0598,9.52E-01,0.996
HNRNPU,-0.0023,0.0388,-0.0597,9.52E-01,0.996
ZNF683,-0.0038,0.0644,-0.0597,9.52E-01,0.996
SCAND2,-0.0026,0.0442,-0.0596,9.52E-01,0.996
HIST2H2BF,0.0039,0.0657,0.0596,9.53E-01,0.996
ABHD6,-0.0034,0.0566,-0.0596,9.53E-01,0.996
NTRK2,-0.0038,0.0639,-0.0596,9.53E-01,0.996
NUDCD3,0.0026,0.0442,0.0595,9.53E-01,0.996
SKP1,0.0023,0.0392,0.0595,9.53E-01,0.996
GOLGA5,0.0025,0.0412,0.0594,9.53E-01,0.996
EML1,0.0032,0.0536,0.0593,9.53E-01,0.996
CBX5,0.0027,0.0457,0.0593,9.53E-01,0.996
PASD1,0.0028,0.0482,0.0591,9.53E-01,0.9961
NOL8,-0.0025,0.0422,-0.059,9.53E-01,0.9961
TASP1,0.0024,0.0401,0.0586,9.53E-01,0.9962
FAM153A,-0.0038,0.0646,-0.0586,9.53E-01,0.9962
HLF,-0.0036,0.0621,-0.0586,9.53E-01,0.9962
Mar-10,-0.0037,0.064,-0.0585,9.53E-01,0.9962
CCDC56,0.0032,0.0549,0.0585,9.53E-01,0.9962
UQCRC1,-0.0032,0.0553,-0.0585,9.53E-01,0.9962
PTEN,-0.0032,0.0546,-0.0585,9.53E-01,0.9962
TSEN34,0.0026,0.0444,0.0583,9.54E-01,0.9962
NPL,-0.0033,0.0561,-0.0582,9.54E-01,0.9963
FAM106A,0.0037,0.0645,0.0581,9.54E-01,0.9963
DCAF6,0.0026,0.0441,0.0578,9.54E-01,0.9963
TMPRSS9,-0.0038,0.0656,-0.0578,9.54E-01,0.9963
SNORD116-28,0.0032,0.0546,0.0578,9.54E-01,0.9963
ODZ3,-0.0036,0.0619,-0.0578,9.54E-01,0.9963
FAM161A,0.0028,0.0482,0.0575,9.54E-01,0.9963
ZNRF3,0.0035,0.0601,0.0575,9.54E-01,0.9963
FUT9,-0.0035,0.0615,-0.0574,9.54E-01,0.9963
NEDD4L,-0.0027,0.0475,-0.0574,9.54E-01,0.9963
TMCC3,0.0032,0.0558,0.0573,9.54E-01,0.9963
ZBTB9,0.0024,0.0424,0.0573,9.54E-01,0.9963
SETD8,0.0024,0.0422,0.0573,9.54E-01,0.9963
C7orf28A,-0.0025,0.0438,-0.0572,9.54E-01,0.9963
PRKX,0.003,0.0525,0.0572,9.54E-01,0.9963
MGC29506,0.0036,0.0628,0.0571,9.54E-01,0.9963
C12orf72,0.0028,0.0489,0.0571,9.54E-01,0.9963
ZACN,-0.0037,0.0642,-0.057,9.55E-01,0.9963
MAP3K1,0.0028,0.0499,0.057,9.55E-01,0.9963
MAL2,-0.0025,0.0436,-0.0569,9.55E-01,0.9963
EIF3K,-0.0027,0.0478,-0.0568,9.55E-01,0.9963
ELF5,0.0036,0.064,0.0568,9.55E-01,0.9963
INTS4L1,0.0035,0.0614,0.0567,9.55E-01,0.9963
PDE6D,0.0026,0.0456,0.0566,9.55E-01,0.9963
MRFAP1,-0.0024,0.0424,-0.0565,9.55E-01,0.9963
RDH5,-0.0038,0.0673,-0.0564,9.55E-01,0.9964
SCN1B,-0.0033,0.0579,-0.0563,9.55E-01,0.9964
PDE4A,-0.0035,0.0616,-0.0562,9.55E-01,0.9964
C2CD2,0.0027,0.0489,0.0561,9.55E-01,0.9965
TRPM4,0.0035,0.0628,0.0559,9.55E-01,0.9966
MOSPD1,0.0026,0.0466,0.0557,9.56E-01,0.9966
SCO2,-0.0031,0.0555,-0.0556,9.56E-01,0.9966
DEPDC7,-0.0035,0.0627,-0.0556,9.56E-01,0.9966
MRPL50,-0.0025,0.045,-0.0554,9.56E-01,0.9966
NUAK2,-0.003,0.0535,-0.0554,9.56E-01,0.9966
UBIAD1,0.0027,0.0491,0.0553,9.56E-01,0.9966
KIAA0753,-0.0023,0.0416,-0.0553,9.56E-01,0.9966
PPP1CC,-0.0024,0.043,-0.0552,9.56E-01,0.9966
FOLH1B,0.004,0.0721,0.0552,9.56E-01,0.9966
TSPYL5,0.003,0.055,0.0551,9.56E-01,0.9966
UGT1A4,-0.0029,0.053,-0.055,9.56E-01,0.9966
RPS23,-0.0027,0.0499,-0.0548,9.56E-01,0.9966
C1orf173,-0.0035,0.0641,-0.0548,9.56E-01,0.9966
TRUB2,-0.0026,0.0476,-0.0547,9.56E-01,0.9966
EEF1E1,-0.0024,0.0434,-0.0547,9.56E-01,0.9966
CDKN2C,0.0031,0.0569,0.0546,9.57E-01,0.9966
CDK19,-0.0024,0.0435,-0.0545,9.57E-01,0.9966
